Company,TypeName,Ram,Memory,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,Cpu brand,HDD,SSD,Hybrib,Flash_Storage
Apple,Ultrabook,8,128 SSD,Intel Iris Plus Graphics 640,macOS,1.37,71378.6832,0,1,226.98300468106115,Intel Core i5,0,128,0,0
Apple,Ultrabook,8,128 Flash Storage,Intel HD Graphics 6000,macOS,1.34,47895.5232,0,0,127.67794013309688,Intel Core i5,0,0,0,128
HP,Notebook,8,256 SSD,Intel HD Graphics 620,No OS,1.86,30636.0,0,0,141.21199808219862,Intel Core i5,0,256,0,0
Apple,Ultrabook,16,512 SSD,AMD Radeon Pro 455,macOS,1.83,135195.336,0,1,220.53462386625827,Intel Core i7,0,512,0,0
Apple,Ultrabook,8,256 SSD,Intel Iris Plus Graphics 650,macOS,1.37,96095.808,0,1,226.98300468106115,Intel Core i5,0,256,0,0
Acer,Notebook,4,500 HDD,AMD Radeon R5,Windows 10,2.1,21312.0,0,0,100.45466986113651,AMD Processor,500,0,0,0
Apple,Ultrabook,16,256 Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04,114017.6016,0,1,220.53462386625827,Intel Core i7,0,0,0,256
Apple,Ultrabook,8,256 Flash Storage,Intel HD Graphics 6000,macOS,1.34,61735.536,0,0,127.67794013309688,Intel Core i5,0,0,0,256
Asus,Ultrabook,16,512 SSD,Nvidia GeForce MX150,Windows 10,1.3,79653.6,0,0,157.3505121487356,Intel Core i7,0,512,0,0
Acer,Ultrabook,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.6,41025.6,0,1,157.3505121487356,Intel Core i5,0,256,0,0
HP,Notebook,4,500 HDD,Intel HD Graphics 620,No OS,1.86,20986.992,0,0,100.45466986113651,Intel Core i5,500,0,0,0
HP,Notebook,4,500 HDD,Intel HD Graphics 520,No OS,1.86,18381.0672,0,0,141.21199808219862,Intel Core i3,500,0,0,0
Apple,Ultrabook,16,256 SSD,AMD Radeon Pro 555,macOS,1.83,130001.6016,0,1,220.53462386625827,Intel Core i7,0,256,0,0
Dell,Notebook,4,256 SSD,AMD Radeon R5 M430,Windows 10,2.2,26581.392,0,0,141.21199808219862,Intel Core i3,0,256,0,0
Apple,Ultrabook,8,256 SSD,Intel HD Graphics 615,macOS,0.92,67260.672,0,1,226.41554716935852,Other Intel Processor,0,256,0,0
Apple,Ultrabook,8,256 SSD,Intel Iris Plus Graphics 640,macOS,1.37,80908.344,0,1,226.98300468106115,Intel Core i5,0,256,0,0
