index,Company,TypeName,Ram,Weight,Price,TouchScreen,IPS,PPI,Cpu brand,HDD,SSD,Gpu brand,OS
0,Apple,Ultrabook,8,0.3148107398400336,71378.6832,0,1,226.98300468106115,Intel Core i5,0,128,Intel,Mac
1,Apple,Ultrabook,8,0.29266961396282004,47895.5232,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
2,HP,Notebook,8,0.62057648772511,30636.0,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others/No OS/Linux
3,Apple,Ultrabook,16,0.6043159668533296,135195.336,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
4,Apple,Ultrabook,8,0.3148107398400336,96095.808,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
5,Acer,Notebook,4,0.7419373447293773,21312.0,0,0,100.45466986113651,AMD Processor,500,0,AMD,Windows
6,Apple,Ultrabook,16,0.712949807856125,114017.6016,0,1,220.53462386625827,Intel Core i7,0,0,Intel,Mac
7,Apple,Ultrabook,8,0.29266961396282004,61735.536,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
8,Asus,Ultrabook,16,0.26236426446749106,79653.6,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia,Windows
9,Acer,Ultrabook,8,0.47000362924573563,41025.6,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
10,HP,Notebook,4,0.62057648772511,20986.992,0,0,100.45466986113651,Intel Core i5,500,0,Intel,Others/No OS/Linux
11,HP,Notebook,4,0.62057648772511,18381.0672,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others/No OS/Linux
12,Apple,Ultrabook,16,0.6043159668533296,130001.6016,0,1,220.53462386625827,Intel Core i7,0,256,AMD,Mac
13,Dell,Notebook,4,0.7884573603642703,26581.392,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Windows
14,Apple,Ultrabook,8,-0.08338160893905101,67260.672,0,1,226.41554716935852,Other Intel Processor,0,256,Intel,Mac
15,Apple,Ultrabook,8,0.3148107398400336,80908.344,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
16,Dell,Notebook,8,0.7884573603642703,39693.6,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
17,Apple,Ultrabook,16,0.6043159668533296,152274.24,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
18,Lenovo,Notebook,8,0.7884573603642703,26586.72,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Others/No OS/Linux
19,Dell,Ultrabook,8,0.19885085874516517,52161.12,1,1,165.6321180513006,Intel Core i5,0,128,Intel,Windows
21,Lenovo,Gaming,8,0.9162907318741551,53226.72,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia,Windows
22,HP,Notebook,4,0.62057648772511,13746.24,0,0,100.45466986113651,AMD Processor,500,0,AMD,Others/No OS/Linux
23,Dell,2 in 1 Convertible,8,0.4824261492442928,43636.32,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
24,HP,Ultrabook,8,0.6471032420585384,35111.52,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
25,Dell,Notebook,4,0.8329091229351039,22305.1392,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
26,Apple,Ultrabook,8,0.30010459245033816,58554.72,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
27,Dell,Notebook,8,0.7884573603642703,42624.0,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
28,Dell,Ultrabook,8,0.6312717768418578,69157.44,0,0,141.21199808219862,Intel Core i7,0,512,Intel,Windows
29,HP,Notebook,8,0.9162907318741551,47738.88,0,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
30,Chuwi,Notebook,4,0.636576829071551,13053.0672,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,Windows
31,Asus,Notebook,2,0.5007752879124892,10602.72,0,0,111.93520355955211,AMD Processor,0,0,AMD,Windows
32,HP,Notebook,4,0.9969486348916096,23389.92,0,0,127.33567457123111,AMD Processor,500,0,AMD,Windows
33,Dell,Ultrabook,16,0.1823215567939546,99580.32,1,0,276.053530085501,Intel Core i7,0,512,Intel,Windows
34,Apple,Ultrabook,8,0.30010459245033816,53173.44,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
35,Lenovo,Notebook,4,0.36464311358790924,13266.72,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows
36,Acer,Notebook,4,0.7419373447293773,19553.76,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Others/No OS/Linux
37,Dell,Notebook,8,1.0296194171811581,52161.12,0,1,127.33567457123111,Intel Core i5,1000,128,AMD,Windows
38,HP,Notebook,4,0.62057648772511,26037.4032,0,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows
39,HP,Notebook,8,0.7419373447293773,46833.12,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
40,Asus,Notebook,4,0.6931471805599453,20725.92,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Others/No OS/Linux
41,Dell,Gaming,16,0.9745596399981308,79866.72,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
42,Asus,Notebook,8,0.8329091229351039,27864.9072,0,0,100.45466986113651,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
43,Acer,Notebook,4,0.7884573603642703,36336.96,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
44,Dell,2 in 1 Convertible,12,1.0188473201992472,53226.72,1,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
