Company,TypeName,Ram,Weight,TouchScreen,IPS,PPI,Cpu brand,HDD,SSD,Gpu brand,OS,Price
Asus,Gaming,16,1.4586150226995167,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows,11.470547260182666
Dell,Ultrabook,8,0.1906203596086497,1,1,331.2642361026012,Intel Core i5,0,128,Intel,Windows,11.352694739066088
Lenovo,2 in 1 Convertible,4,0.5877866649021191,1,1,157.3505121487356,Intel Core i7,0,128,Intel,Windows,10.433899309576924
Asus,2 in 1 Convertible,2,0.09531017980432493,1,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows,9.592332123898705
Lenovo,Ultrabook,8,0.12221763272424911,0,1,209.8006828649808,Intel Core i7,0,512,Intel,Windows,11.708368556654154
Lenovo,Notebook,4,0.36464311358790924,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows,9.493013922696841
Dell,Gaming,32,1.472472057360943,0,0,254.67134914246222,Intel Core i7,1000,1000,Nvidia,Windows,12.1806155047626
Lenovo,2 in 1 Convertible,16,0.26236426446749106,1,1,276.053530085501,Intel Core i7,0,512,Intel,Windows,11.288114524334732
Lenovo,Notebook,8,0.5306282510621704,0,0,157.3505121487356,Intel Core i5,0,180,Intel,Windows,11.064804181259648
Dell,Gaming,32,1.4861396960896067,0,1,127.33567457123111,Intel Core i7,1000,1000,Nvidia,Windows,12.161134189998078
Dell,Notebook,4,0.8329091229351039,0,0,100.45466986113651,Intel Core i3,0,128,AMD,Windows,10.188167121983652
Dell,Notebook,8,0.8586616190375187,0,0,100.45466986113651,Intel Core i5,1000,0,AMD,Windows,10.435449831034946
Lenovo,Notebook,8,0.7884573603642703,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux,10.466299735126338
Lenovo,Notebook,12,0.7884573603642703,0,0,141.21199808219862,AMD Processor,2000,0,AMD,Windows,10.776844060703754
Toshiba,Notebook,8,0.6931471805599453,0,1,141.21199808219862,Intel Core i7,0,256,Intel,Windows,11.211180167298883
HP,Notebook,4,0.4885800148186709,0,1,111.93520355955211,Intel Core i5,500,0,Intel,Windows,10.55758616512496
HP,Notebook,8,0.6471032420585384,0,1,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows,10.862092668762644
Lenovo,Notebook,8,0.4574248470388755,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows,11.275358392990295
MSI,Gaming,8,0.7884573603642703,0,0,141.21199808219862,Intel Core i5,1000,128,Nvidia,Windows,10.968576149165093
Lenovo,Ultrabook,8,0.26236426446749106,0,1,125.36742798669837,Intel Core i5,0,180,Intel,Windows,10.977716980635755
Dell,Gaming,16,0.9745596399981308,0,1,282.42399616439724,Intel Core i7,1000,512,Nvidia,Windows,11.495795582706762
HP,Notebook,8,0.14842000511827322,1,0,276.053530085501,Other Intel Processor,0,256,Intel,Windows,11.413356147904066
Vero,Notebook,4,0.26236426446749106,0,1,157.3505121487356,Other Intel Processor,0,0,Intel,Windows,9.536242657247662
Lenovo,Notebook,12,0.7884573603642703,0,0,141.21199808219862,AMD Processor,0,512,AMD,Windows,10.830969824842061
HP,Ultrabook,8,0.29266961396282004,0,1,165.6321180513006,Intel Core i7,0,512,Intel,Windows,11.16321819034709
Acer,Notebook,8,0.8754687373538999,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux,10.716080385838357
Dell,Notebook,4,0.7793248768009977,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows,10.580858947180335
Asus,Notebook,8,0.6931471805599453,0,0,141.21199808219862,Intel Core i7,1000,256,Intel,Windows,11.085440489304405
Dell,Notebook,4,0.8329091229351039,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Others/No OS/Linux,10.37065566550255
Acer,Gaming,16,1.4350845252893227,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows,11.838443060873624
Dell,Notebook,2,0.7884573603642703,0,0,100.45466986113651,Other Intel Processor,500,0,Intel,Windows,9.913097231314559
HP,2 in 1 Convertible,4,0.2468600779315258,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows,11.41394455627644
Asus,Notebook,4,0.8628899551470398,0,0,100.45466986113651,Intel Core i7,0,256,Intel,Windows,10.720679721736714
Asus,Ultrabook,8,0.371563556432483,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows,11.130176383145796
MSI,Gaming,16,0.5306282510621704,0,0,157.3505121487356,Intel Core i7,1000,256,Nvidia,Windows,11.453730720391919
Asus,Ultrabook,8,0.22314355131420976,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows,10.977716980635755
HP,2 in 1 Convertible,8,0.25464221837358075,1,1,331.2642361026012,Intel Core i5,0,256,Intel,Windows,11.288114524334732
HP,Notebook,4,0.494696241836107,0,0,111.93520355955211,Intel Core i3,500,0,Intel,Windows,10.503518943854685
Dell,Notebook,4,0.7793248768009977,0,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows,10.538089862097847
HP,Ultrabook,8,0.43178241642553783,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows,11.518415853167008
Lenovo,2 in 1 Convertible,8,0.6931471805599453,1,1,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows,11.413356147904066
HP,Notebook,8,0.9555114450274363,0,0,107.98564559226952,AMD Processor,1000,0,AMD,Windows,10.231119110983279
Dell,Notebook,16,0.8586616190375187,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Others/No OS/Linux,10.776844060703754
Toshiba,Notebook,8,0.1823215567939546,0,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows,11.261752740934515
HP,Notebook,4,0.62057648772511,0,0,141.21199808219862,AMD Processor,0,256,AMD,Windows,9.963243430044656
HP,Notebook,8,0.712949807856125,1,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows,10.301710499387234
HP,Notebook,8,0.9162907318741551,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia,Windows,10.901156223342602
Lenovo,Notebook,4,0.7884573603642703,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows,10.658921971998408
Asus,Notebook,4,0.6931471805599453,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,Others/No OS/Linux,9.592295759601168
Lenovo,Notebook,4,0.7419373447293773,0,0,100.45466986113651,Intel Core i5,0,128,Intel,Windows,10.176070200274824
Lenovo,Notebook,4,0.36464311358790924,0,1,165.6321180513006,Intel Core i3,0,180,Intel,Windows,10.575431525444971
Dell,Notebook,8,0.7884573603642703,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows,10.660172753900062
HP,Gaming,12,1.208960345836975,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows,11.575963360732533
Dell,Notebook,8,0.494696241836107,0,0,157.3505121487356,Intel Core i5,0,256,Nvidia,Windows,11.047982926769505
Acer,Notebook,4,0.7884573603642703,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Windows,10.248438032778301
MSI,Gaming,8,0.9932517730102834,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,Windows,10.974070668482735
Dell,Notebook,4,0.7884573603642703,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows,10.594300009749354
Dell,Notebook,8,0.6931471805599453,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows,11.071454247329665
Lenovo,Gaming,16,0.9555114450274363,1,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows,10.911903762066183
